
============================================================
  FreshBus Competitor Dashboard — Demo Server
============================================================
  Dashboard : http://localhost:8000
  API docs  : http://localhost:8000/api/docs
  Health    : http://localhost:8000/health
============================================================

INFO:     127.0.0.1:65102 - "GET /assets/KPICard-ClbOKOca.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55600 - "GET /assets/HeatmapCell-nA0EtP1p.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58121 - "GET /assets/layers-BuByipg-.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55600 - "GET /api/v1/history/google_play HTTP/1.1" 200 OK
INFO:     127.0.0.1:55502 - "GET /api/v1/metrics/app-store HTTP/1.1" 200 OK
INFO:     127.0.0.1:56189 - "GET /api/v1/history/ios_app_store HTTP/1.1" 200 OK
INFO:     127.0.0.1:58121 - "GET /api/v1/reviews/top HTTP/1.1" 200 OK
INFO:     127.0.0.1:58121 - "GET /api/v1/reviews/top?operator_slug=freshbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:58121 - "GET /google-reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:58121 - "GET /assets/index-BDBShbui.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:56189 - "GET /assets/index-Bmo0I34g.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:56189 - "GET /assets/GooglePage-ctOHhRBC.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58121 - "GET /assets/KPICard-ClbOKOca.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:65102 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58121 - "GET /assets/x-CakDCczf.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:55502 - "GET /assets/HeatmapCell-nA0EtP1p.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55600 - "GET /assets/LineChart-DfssW5tY.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:56189 - "GET /api/v1/reviews/top?source=google_reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:55600 - "GET /api/v1/metrics/google-reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:55502 - "GET /api/v1/history/google_reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:55502 - "GET /redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:55600 - "GET /assets/index-Bmo0I34g.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55502 - "GET /assets/index-BDBShbui.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:53603 - "GET /assets/x-CakDCczf.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55502 - "GET /assets/RedbusPage-BXnJ7hwo.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:56189 - "GET /assets/HeatmapCell-nA0EtP1p.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55600 - "GET /assets/KPICard-ClbOKOca.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:58121 - "GET /assets/layers-BuByipg-.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:65102 - "GET /assets/trophy-DPvlyacv.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:53603 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53603 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:55149 - "GET /redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:55149 - "GET /assets/index-BDBShbui.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55149 - "GET /assets/index-Bmo0I34g.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55149 - "GET /assets/RedbusPage-BXnJ7hwo.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55149 - "GET /assets/KPICard-ClbOKOca.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55149 - "GET /assets/HeatmapCell-nA0EtP1p.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55149 - "GET /assets/layers-BuByipg-.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55149 - "GET /assets/trophy-DPvlyacv.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55149 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64637 - "GET /assets/x-CakDCczf.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55149 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:64650 - "GET /app-store HTTP/1.1" 200 OK
INFO:     127.0.0.1:52108 - "GET /assets/index-Bmo0I34g.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:64650 - "GET /assets/index-BDBShbui.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:64650 - "GET /assets/AppStorePage-bksEpw2v.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:64650 - "GET /assets/KPICard-ClbOKOca.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:57187 - "GET /assets/LineChart-DfssW5tY.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52108 - "GET /assets/HeatmapCell-nA0EtP1p.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:60882 - "GET /assets/layers-BuByipg-.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:64650 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60882 - "GET /api/v1/history/google_play HTTP/1.1" 200 OK
INFO:     127.0.0.1:64650 - "GET /api/v1/metrics/app-store HTTP/1.1" 200 OK
INFO:     127.0.0.1:57187 - "GET /api/v1/reviews/top HTTP/1.1" 200 OK
INFO:     127.0.0.1:52108 - "GET /api/v1/history/ios_app_store HTTP/1.1" 200 OK
INFO:     127.0.0.1:52108 - "GET /api/v1/reviews/top?operator_slug=freshbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:52108 - "GET /google-reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:52108 - "GET /assets/GooglePage-ctOHhRBC.js HTTP/1.1" 304 Not Modified
